url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/public/jobs/6648298003	2026-05-04	Greenhouse — Data Analyst Chicago	Senior Data Analyst / Analytics Engineer	Public	skipped_expired
https://jobs.lever.co/mhnchicago/130d5dee-10ad-470f-906d-d09beafc2ba1	2026-05-04	Lever — Data Analyst Chicago	Senior Healthcare Data Analyst	Medical Home Network	added
https://jobs.lever.co/matchgroup/e0c5889f-76b7-43ad-ba6e-fb9a6c61330c	2026-05-04	Lever — Data Analyst Chicago	Senior Data Analyst	Match Group	added
https://jobs.lever.co/analyticpartners/f895c2ba-e50a-4424-92e7-133759a75993	2026-05-04	Lever — Analytics Engineer	Data Science Analyst	Analytic Partners	skipped_title
https://jobs.lever.co/analyticpartners/4bc7da84-1173-4133-819d-b7adde8babe4	2026-05-04	Lever — Analytics Engineer	Marketing Science Analyst, Data Analyst	Analytic Partners	skipped_title
https://jobs.ashbyhq.com/trovy/396b576a-c7c1-49ec-b018-27d0364ea55f	2026-05-04	Ashby — Data & Analytics	Data Analyst	Trovy	added
https://jobs.ashbyhq.com/openai/fc5bbc77-a30c-4e7a-9acc-8a2e748545b4	2026-05-04	Ashby — Data & Analytics	Data Engineer, Analytics	OpenAI	skipped_title
https://jobs.ashbyhq.com/troveo/e4aeccd0-6c79-4bd6-be21-2ffde994c415	2026-05-04	Ashby — Data & Analytics	Data Analyst	Troveo AI	skipped_expired
https://careers.kraftheinz.com/careers/PipelineDetail/Data-Analyst-Global-Commodity-Risk-Management/38635	2026-05-04	Kraft Heinz — websearch	Data Analyst, Global Commodity Risk Management	Kraft Heinz	skipped_expired
https://apply.workable.com/healthix/j/564F0DB9EC/	2026-05-04	Workable — Analytics Roles	Data Analyst	Healthix	added
https://apply.workable.com/futureplc/j/6B10012358/	2026-05-04	Workable — Analytics Roles	Business Intelligence Analyst	Future Publishing	skipped_title
https://apply.workable.com/cosmo/j/2A441FEF17/	2026-05-04	Workable — Analytics Roles	Data Analyst	COSMO	skipped_title
https://apply.workable.com/adf-medical-services-inc/j/FDF5BFECAC/	2026-05-04	Workable — Analytics Roles	Data Analyst Full Time	ADF Medical Services	skipped_dup
https://jobs.lever.co/matchgroup/273aed13-776f-48dc-a90f-ec1f8a4fe613	2026-05-04	Lever — Data Analyst Chicago	Senior Data Analyst, Core	Match Group	added
https://boards.greenhouse.io/gusto/jobs/5189839	2026-05-07	Greenhouse — Data Analyst Chicago	Senior Data Analyst	Gusto	added
https://job-boards.greenhouse.io/shearerssnacks/jobs/8217311002	2026-05-07	Greenhouse — Supply Chain Analyst	Supply Chain Data Analyst	Shearer's Foods	added
https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5820760004	2026-05-07	Greenhouse — Supply Chain Analyst	Business Analyst, Supply Chain (Contract)	PlayStation Global	added
https://jobs.lever.co/omnidian/6fc34a7e-c5d1-432b-b9cb-236a15756cf3	2026-05-07	Lever — Supply Chain Analyst	Supply Chain Analyst	Omnidian	added
https://job-boards.greenhouse.io/natera/jobs/5839566004	2026-05-07	Greenhouse — Operations Analyst	Logistics Analyst	Natera	added
https://job-boards.greenhouse.io/veeamsoftware/jobs/4841276101	2026-05-07	Greenhouse — Business Intelligence	Sr. Data Analyst	Veeam Software	added
https://job-boards.greenhouse.io/dv01/jobs/8014788002	2026-05-07	Greenhouse — Business Intelligence	Data Analyst, Capital Markets Solutions	dv01	added
https://job-boards.greenhouse.io/platformscience/jobs/6210564003	2026-05-07	Greenhouse — Data Analyst Chicago	Data Analyst	Platform Science	added
https://careers.morningstar.com/us/en/job/REQ-045592/Analyst-Quantitative-Analytics	2026-05-07	Morningstar — websearch	Analyst, Quantitative Analytics	Morningstar	added
https://job-boards.greenhouse.io/doublegood/jobs/5832697004	2026-05-07	Greenhouse — Data Analyst Chicago	Data Analyst Intern (Summer 2026)	Double Good	skipped_title
https://job-boards.greenhouse.io/toast/jobs/7746009	2026-05-07	Greenhouse — Analytics Engineer	Principal Product Analytics Engineer	Toast	skipped_title
https://job-boards.greenhouse.io/quince/jobs/5180510008	2026-05-07	Greenhouse — Supply Chain Analyst	Data Analyst, Supply Chain	Quince	skipped_title
https://apply.workable.com/adf-medical-services-inc/j/D5A34DC43E	2026-05-07	Workable — Analytics Roles	Data Analyst-Part time	ADF Medical Services	skipped_title
https://apply.workable.com/jobgether/j/A0476A48CD	2026-05-07	Workable — Analytics Roles	Data Analyst (Remote - US)	Jobgether	skipped_dup
https://jobs.lever.co/loadsmart/fa924fde-544c-47e4-a8a6-1545526bc9a1	2026-05-07	Lever — Analytics Engineer	Senior Analytics Engineer (Remote - Brazil)	Loadsmart	skipped_title
